品牌,型号,名称,分组,后置原因,类型,处理建议
Green-GO,GGO-SI2WR,2线内通转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-SI4WR,4线内通转换器,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-STRIDEDAE,同步天线,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-SW18GBX,18口PoE交换机,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-SW5,5口PoE交换机,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-SW81,8口PoE交换机,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-WAA,天线,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-WBPX-EU-4M,无线腰包,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Green-GO,GGO-WPX,墙面基站,Green-GO数字内通系统,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
Televic,CoCon Intercom,内部通讯模块,CoCon控制软件,通讯(V2),超V1范围(已分类),V1 不处理；V2/V3 阶段按规划纳入
,AB1608-RK19X,AB1608/DX168机架套件(国产),dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,AVANT-BRKT/X,Avantis iPad 支架,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,CC-BRK,CC-7/10的墙面/玻璃安装支架,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,CC-STN,CC-7/10的桌面支架,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,DT-SMK,用于标准版DT20/DT02的平面安装耳朵,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,DT02/X,48kHz/96kHz 双通道 Dante输入转模拟输出转换盒,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
,DT20/X,48kHz/96kHz 双通道模拟输入转Dante输出转换盒,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,ER6N5B6SM100UAV,Link Srl 品牌六类网线缆轴,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,IP1-BK-EU,小型控制器,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,IP1-BK-US,小型控制器,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,IP1-WH-EU,小型控制器,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,IP1-WH-EU/X,小型控制器,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,IP1-WH-US,小型控制器,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,MPS-16,电源模块,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ALLEN&HEATH,SQ-BRACKETX,SQ 可拆装金属支架,dLive系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ATTEROTECH,,Dante网络音频监听机,机架式Dante/AES67监听机,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ATTEROTECH,,寻呼台,寻呼台,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ATTEROTECH,,寻呼台,寻呼台,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,A10,入耳式耳机,入耳式耳机,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,A140,耳机,头戴式耳机,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,A150,耳机,耳机,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PLENHSEM3,网线接头黄铜压力保护罩,转接线,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,PLENHSEM3,网线接头黄铜压力保护罩,转接线,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
AUDIX,TM2SP,入耳式耳机测量声学耦合器,入耳式耳机测量声学耦合器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,ALINP,本地输入面板,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,DIPEX,扩展模块,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,DIWAC,数字程序墙面控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,E-MODON,墙面控制器安装背盒,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,E-VOL120,定压单声道墙面音量控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,E-VOL20 White,定压单声道墙面音量控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,E-VOL40 WHITE,定压单声道墙面音量控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,E-VOL60 WHITE,定压单声道墙面音量控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,MASK2CMT-W,支柱安装支架套件,MASK支架套件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,N-MODIN,墙面控制器安装背盒,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,N-VOLST-W,立体声音量控制器,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Apart,SVC4,4区立体声音量控制,控制设备,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG1,Astro Spatial Audio 升级1：从Player版本升级到Production Studio,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG2,Astro Spatial Audio 升级2：从Production Studio版本升级到Live,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG3,Astro Spatial Audio 升级3：从Live版本升级到RSM,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG4,Astro Spatial Audio 升级4：从Player版本升级到Live,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG5,Astro Spatial Audio 升级5：从Player版本升级到RSM,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,UG6,Astro Spatial Audio 升级6：从Production Studio版本升级到RSM,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Astro Spatial Audio,services,系统调试服务,三维声空间音频服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,ENT-CB1,联接支架,E系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,ENT-FRW,全频三分频线性音柱,E系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,ENT-LF,低频线性音柱,E系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,IV6-LAU,IV6轻型阵列框架适配U型支架,I系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,IV6-S1,0°展开支架,I系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,IV6-S2,-2.5°展开支架,I系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,IV6-S3,-5°展开支架,I系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,MX-Y10B,墙壁支架,M-CLASS系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Community,MX-Y8B,墙壁支架,M-CLASS系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2041783 Anya Ccover (Covers 3 or 4 Anya Modules),Anya保护罩,Anya,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2042482 Distro Rack Pallet,配线箱托盘车,"配件（Anya,Anna和Otto通用）",音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2042545 Distro Rack (Suports 12 Modules @ 230V),配线箱机架,"配件（Anya,Anna和Otto通用）",音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2042596 Distro Rack Flybar,配线箱吊装架,"配件（Anya,Anna和Otto通用）",音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2044434 Otto Cover (Covers 3 Otto module),Otto保护罩,Otto,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2045005 Power Fanout (16ft/4.8m, powers 6 modules)",电源扇出线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2045006 Power Extender (12ft/3.6m, powers 6 modules)",电源延长线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2045007 Network Fanout (16ft/4.8m, connects 6 modules)",网络扇出线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2045008 Network Fanout (28ft/8.5m, connects 6 modules)",网络扇出线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2045009 Network Extender (24ft/7.3m, connects 6 modules)",网络延长线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,2046446 Anna Cover (Covers 4 Anna Modules),Anna保护罩,Anna,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2047004 Network Extender (75ft/23m, connects 6 modules)",网络延长线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,"2047006 Power Extender (75ft/23m, powers 6 modules)",电源延长线,配线机架适配器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,ACC 2X WEATHER PROTECTION END COVER BLK AC6,防水接口盖板,AC6,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,ACC WEATHER PROTECTION JOINT COVER BLK AC6,防水连接盖板,AC6,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,ACC-RSXH2 Rain Guard,防雨罩,吊环螺栓，连接点为锻造工艺,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,CART NT116S,轮板车,NT系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,COVER TRANSPORT 3X RSX18F,防尘罩,防尘罩,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,COVER TRANSPORT 4-STACK RSX212L,防尘罩,防尘罩,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,COVER TRANSPORT DOUBLE NT116S,运输用防尘罩,NT系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,COVER TRANSPORT RSX18F,防尘罩,防尘罩,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,FLYBAR ANNA [FB ANNA],Anna吊挂件（无运输箱）,Anna,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,HRBKT-CCL Horizontal rotation bracket,CCL6/CCL12水平可调墙面安装支架,Commercial系列配件,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,NT206L Black,"双6""二分频有源线阵列",NT系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,NT208L Black,"双8""二分频有源线阵列",NT系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
EAW,ROAD CASE FBANNA BLACK,Anna吊挂件运输箱,Anna,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,Flex Hog,灯光控制台,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,Gig Hog,灯光控制台,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,RSN-DMX4-O,DMX解码器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,Stage Hog,灯光控制台,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,Tour Hog,灯光控制台,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
ETC,Tour Wing,控台扩展翼,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CF-C1131-50,公－母50米屏蔽主缆,数字会讨系统（数字控制-数字传输）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CF-C1131-50,公－母50米屏蔽主缆,模拟会讨系统（停产-销库存）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CF-C1132-50,公－母50米屏蔽主缆,模拟会讨系统（数字控制-模拟传输）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CF-C1132-50,公－母50米屏蔽主缆,模拟会讨系统（停产-销库存）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CF6300RP,中继器,模拟会讨系统（数字控制-模拟传输）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CS B-TMP6-SEN,六合一传感器,CS传感器产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,CTS1007M,10寸墨水信息屏,CTS智慧屏产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,DPE521N,双串口服务器,CS传感器产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,DX120D-HD,H.264/H.265解码器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,DX120E-HD,H.264/H.265编码器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,I208A,8路电源管理器,PDU电源管理器产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,MT110,融合会议主机（升级款）-不带 Windows 授权,MT融合会议产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,MT902,融合会议主机支架,MT融合会议产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,NP-75WF,7.5寸双面墨水屏电子桌牌,其他会议系统（前级）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,PS860,8路电源管理器,PDU电源管理器产品系列,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,VM0404S,4×4固定式矩阵切换器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,VM0808S,8×8固定式矩阵切换器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,VP0104,1进4出分配器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,VP0301,3进1出切换器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,VP0401,4进1出切换器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,WV200,无线表决数据收发器,其他会议系统（前级）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,WV200C,50位表决单元充电箱,其他会议系统（前级）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,WV200D,无线表决单元,其他会议系统（前级）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4K-RX,4K网传接收器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4K-TX,4K网传发送器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4KCAT-IN,4K双绞线输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4KCAT-OUT,4K双绞线输出卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4KHDMI-IN,4K HDMI输入卡（带无缝切换）,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-4KHDMI-OUT,4K HDMI输出卡（带无缝切换）,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-CAT-IN,双绞线输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-CAT-OUT,双绞线输出卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-FB-IN,光纤单模输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-FB-OUT,光纤单模输出卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-HDMI-IN2,HDMI输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-HDMI-OUT,HDMI输出卡（带无缝切换）,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-MIX-IN,混合输入卡-AV/DVI/YPBPR,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-MIX-OUT,混合输出卡-DVI/AV/YPBRP,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-SDI-IN,SDI输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-SDI-OUT,SDI输出卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-VGA-IN,VGA输入卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP100-VGA-OUT,VGA输出卡（带无缝切换）,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-1616,混合矩阵切换器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-4KHDMI-4IN,4路进4K HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-4KHDMI-4OUT,4路出4K HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-HDMI-4IN,4路进HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-HDMI-4OUT,4路出HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-RX-70,HDBT接收器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-SDI-4IN,4路进SDI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-SDI-4OUT,4路出SDI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-SH-4IN,2路进SDI、2路进HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-SH-4OUT,2路出SDI、2路出HDMI板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-TX-70,HDBT发送器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-VGA-4IN,4路进VGA板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XP120-VGA-4OUT,4路出VGA板卡,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
IPS,XPS-D100-TX,HDBaseT墙插发送器,视频产品,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Jabra,Jabra PanaCast Hub,Panacast摄像头桌面拓展坞,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Jabra,Jabra PanaCast Table Stand,Panacast摄像头桌面安装支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Jabra,Jabra PanaCast USB Cable,Panacast摄像头USB连接线缆,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Jabra,Jabra PanaCast Wall Mount,Panacast摄像头墙装支架,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno L6-A1,用于Karno SEPIA 的 L6 1U 19 英寸机架式模拟输出接口主机,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno L6-M1,用于Karno SEPIA 的 L6 1U 21 英寸机架式MADI输出接口主机,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno L6-N1,用于Karno SEPIA 的 L6 1U 20 英寸机架式Dante输出接口主机,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno Langstrath Audio EC24 SEPIA Module,用于Karno SEPIA L6主机的压缩模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno Locomotive Audio POWER-MU SEPIA Module,用于Karno SEPIA L6主机的压缩模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno Pope Audio BAX 2020 SEPIA Module,用于Karno SEPIA L6主机的均衡模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno SPL Transient Designer SEPlA Module,用于Karno SEPIA L6主机的压缩模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno Smart Research C2S SEPlA Module,用于Karno SEPIA L6主机的压缩模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Karno,Karno Universal Audio 1176 SEPIA Module,用于Karno SEPIA L6主机的压缩模块,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,Big Knob  Passive,监听控制器,监听控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,Big Knob  Studio,监听控制器,监听控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,Big Knob  studio+,监听控制器,监听控制器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,DC16,数字控制界面,AXIS数字混音系统,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,MC Extender Pro,8通道控制界面扩展器,控制界面,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Mackie,MCU Pro,8通道控制界面,控制界面,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,AD-GEN,同步锁相卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,AD-GEN,同步锁相卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-3G-2,视频采集卡-双通道3G SDI,双通道4k超级版媒体服务器-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-3G-2,视频采集卡-双通道3G SDI,全媒体服务器四通道4K渲染终端-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-812G,视频采集卡-八通道3G SDI,视频采集卡-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-812G,视频采集卡-八通道3G SDI,视频采集卡-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-HDMI2,视频采集卡-双通道HDMI 2.0,视频采集卡-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,DELTA-HDMI2,视频采集卡-双通道HDMI 2.0,视频采集卡-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,KI-DES,全媒体服务器-管理核心,该平台依赖于Kinetic Designer，这是一个功能强大的用户界面，带有一个专用工作站，连接到一个或多个VNode媒体服务器。（KINETIC项目必选）,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,KI-VNO-3x4K,全媒体服务器三通道4K渲染终端,全媒体服务器双通道4K渲染终端,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,KI-VNO-4,全媒体服务器四通道渲染终端-兼容4K,全媒体服务器双通道渲染终端,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,KI-VNO-6,全媒体服务器六通道渲染终端-兼容4K,全媒体服务器双通道渲染终端,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MOD-HDMI,视频采集卡-分模块-单通道HDMI 2.0,视频采集卡-主模块,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MOD-HDMI,视频采集卡-分模块-单通道HDMI 2.0,视频采集卡-主模块,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-1,单通道专业版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-2,双通道专业版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-2x4K,双通道4K专业版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-3x4K,三通道4K专业版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-4,四通道专业版媒体服务器-兼容4K,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-4x4K,四通道4K专业版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-PRO-6,六通道专业版媒体服务器-兼容4K,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-STD-1,单通道标准版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-STD-2,双通道标准版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-STD-3,三通道标准版媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-STD-4,四通道标准版服媒体务器-兼容4K,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-UX-1,单通道超级版媒体服务器,四通道4K专业版媒体服务器-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-UX-2,双通道超级版媒体服务器,四通道4K专业版媒体服务器-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-UX-3x4K,三通道4k超级版媒体服务器,双通道4k超级版媒体服务器,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,MP-UX-4,四通道超级版媒体服务器-兼容4K,四通道4K专业版媒体服务器-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,NANO-1,单通道紧凑型媒体服务器,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,RKI-VNO-3x4K,全媒体服务器三通道4K渲染终端-加强版机箱,全媒体服务器双通道4K渲染终端-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,RMP-UX-3x4K,三通道4k超级版媒体服务器-加强版机箱,双通道4k超级版媒体服务器-加强版机箱,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,TC-PCIE-R,时间码卡-接收卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,TC-PCIE-R,时间码卡-接收卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,TC-PCIE-RW,时间码卡-收发卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Modulo Pi,TC-PCIE-RW,时间码卡-收发卡,视频采集卡-分模块-四通道3G SDI,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,Anchor,基站,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,BeaKon L Kit,BeaKon 大套件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,BeaKon S Kit,BeaKon 小套件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
Naostage,BeaKon XL Kit,BeaKon 极大套件,,音频未识别,音频待补参数,人工确认类别或补主要参数后可出图
